


at:11	acertos:56.4	micro:0.5	macro:0.39	2350 selecionados	NaiveBayesSimple
at:11	acertos:77.5	micro:0.68	macro:0.52	2350 selecionados	J48
at:11	acertos:82.38	micro:0.74	macro:0.6	2350 selecionados	MultilayerPerceptron



at:11	acertos:64.87	micro:0.44	macro:0.34	2450 selecionados	SMO
at:11	acertos:79.4	micro:0.7	macro:0.54	2450 selecionados	IBk
at:11	acertos:79.87	micro:0.7	macro:0.55	2450 selecionados	IBk
at:11	acertos:80.8	micro:0.71	macro:0.57	2450 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	2450 selecionados	IBk
at:11	acertos:81.81	micro:0.73	macro:0.58	2450 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2450 selecionados	IBk
at:11	acertos:82.17	micro:0.74	macro:0.59	2450 selecionados	IBk
at:11	acertos:82.1	micro:0.73	macro:0.58	2450 selecionados	IBk
at:11	acertos:81.7	micro:0.73	macro:0.58	2450 selecionados	IBk
at:11	acertos:56.44	micro:0.5	macro:0.39	2450 selecionados	NaiveBayes
at:11	acertos:56.37	micro:0.5	macro:0.39	2450 selecionados	NaiveBayesSimple
at:11	acertos:77.25	micro:0.68	macro:0.52	2450 selecionados	J48
at:11	acertos:82.27	micro:0.74	macro:0.6	2450 selecionados	MultilayerPerceptron



at:11	acertos:64.94	micro:0.45	macro:0.34	2550 selecionados	SMO
at:11	acertos:79.44	micro:0.7	macro:0.55	2550 selecionados	IBk
at:11	acertos:79.87	micro:0.7	macro:0.55	2550 selecionados	IBk
at:11	acertos:80.8	micro:0.71	macro:0.57	2550 selecionados	IBk
at:11	acertos:81.59	micro:0.73	macro:0.58	2550 selecionados	IBk
at:11	acertos:81.84	micro:0.73	macro:0.58	2550 selecionados	IBk
at:11	acertos:81.74	micro:0.73	macro:0.58	2550 selecionados	IBk
at:11	acertos:82.2	micro:0.74	macro:0.59	2550 selecionados	IBk
